time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	TrajectoryX(mm)	TrajectoryY(mm)	TrajectoryZ(mm)	SpeedX(mm/s)	SpeedY(mm/s)	SpeedY(mm/s)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-8-11 9:55:40.642	WTSIZIF1(76C8B99AE989)	-0.032	0.024	0.997	0.000	-0.183	-0.122	1.35	-1.81	37.60	29.600	39.647	-40.100	null	null	null	null	null	null	0.94638	0.01691	-0.00519	0.32239	26.8	10080.1.21	40
2025-8-11 9:55:40.642	WTSIZIF1(76C8B99AE989)	-0.036	0.023	0.999	0.000	-0.122	0.000	1.35	-1.81	37.60	29.600	39.647	-40.100	null	null	null	null	null	null	0.94638	0.01691	-0.00519	0.32239	26.8	10080.1.21	40
2025-8-11 9:55:40.672	WTSIZIF1(76C8B99AE989)	-0.038	0.022	0.999	0.000	-0.366	-0.305	1.35	-1.82	37.60	29.600	39.647	-40.100	null	null	null	null	null	null	0.94638	0.01691	-0.00519	0.32239	26.8	10080.1.21	40
2025-8-11 9:55:40.673	WTSIZIF1(76C8B99AE989)	-0.035	0.026	0.998	-0.061	-0.610	-0.793	1.34	-1.83	37.58	29.600	39.647	-40.100	null	null	null	null	null	null	0.94638	0.01691	-0.00519	0.32239	26.8	10080.1.21	40
2025-8-11 9:55:40.703	WTSIZIF1(76C8B99AE989)	-0.045	0.020	0.999	-0.061	-0.671	0.244	1.34	-1.86	37.58	29.600	39.647	-40.100	null	null	null	null	null	null	0.94638	0.01691	-0.00519	0.32239	26.8	10080.1.21	40
2025-8-11 9:55:40.704	WTSIZIF1(76C8B99AE989)	-0.046	0.027	0.997	-0.061	-2.014	-0.427	1.33	-1.88	37.58	29.600	39.647	-40.100	null	null	null	null	null	null	0.94638	0.01691	-0.00519	0.32239	26.8	10080.1.21	40
2025-8-11 9:55:40.763	WTSIZIF1(76C8B99AE989)	-0.074	0.037	1.007	-0.671	-4.150	1.221	1.33	-1.95	37.58	29.200	44.247	-39.500	null	null	null	null	null	null	0.94638	0.01691	-0.00519	0.32239	26.8	10080.1.21	40
2025-8-11 9:55:40.763	WTSIZIF1(76C8B99AE989)	-0.109	0.045	0.993	-1.282	-9.094	-1.953	1.31	-2.09	37.57	29.200	44.247	-39.500	null	null	null	null	null	null	0.94638	0.01691	-0.00519	0.32239	26.8	10080.1.21	40
2025-8-11 9:55:40.792	WTSIZIF1(76C8B99AE989)	-0.057	0.061	1.002	-5.737	-15.991	-18.188	1.25	-2.33	37.40	29.200	44.247	-39.500	null	null	null	null	null	null	0.94638	0.01691	-0.00519	0.32239	26.8	10080.1.21	40
2025-8-11 9:55:40.792	WTSIZIF1(76C8B99AE989)	-0.048	0.029	0.998	-10.132	-25.146	-31.311	1.09	-2.75	36.85	29.200	44.247	-39.500	null	null	null	null	null	null	0.94638	0.01691	-0.00519	0.32239	26.8	10080.1.21	40
2025-8-11 9:55:40.823	WTSIZIF1(76C8B99AE989)	-0.048	-0.014	1.018	-8.240	-34.302	-35.522	0.93	-3.32	36.18	29.200	44.247	-39.500	null	null	null	null	null	null	0.94638	0.01691	-0.00519	0.32239	26.8	10080.1.21	40
