time DeviceName AccX(g) AccY(g) AccZ(g) AsX(\'b0/s) AsY(\'b0/s) AsZ(\'b0/s) AngleX(\'b0) AngleY(\'b0) AngleZ(\'b0) HX(uT) HY(uT) HZ(uT) TrajectoryX(mm) TrajectoryY(mm) TrajectoryZ(mm) SpeedX(mm/s) SpeedY(mm/s) SpeedY(mm/s) Q0() Q1() Q2() Q3() Temperature(\'b0C) Version() Battery level(%) \
2025-8-10 21:51:31.352 WTSIZIF1(76C8B99AE989) 0.074 0.218 0.965 2.380 -0.793 -0.061 11.71 -4.27 -6.48 -5.000 20.300 -38.000 null null null null null null 0.99280 0.10007 -0.03787 -0.05319 30.6 10080.1.21 30 \
2025-8-10 21:51:31.384 WTSIZIF1(76C8B99AE989) 0.067 0.217 0.968 1.343 0.061 0.000 11.81 -4.29 -6.48 -5.000 20.300 -38.000 null null null null null null 0.99280 0.10007 -0.03787 -0.05319 30.6 10080.1.21 30 \
2025-8-10 21:51:31.416 WTSIZIF1(76C8B99AE989) 0.068 0.218 0.962 1.465 -0.732 -0.305 11.87 -4.29 -6.49 -5.000 20.300 -38.000 null null null null null null 0.99234 0.10434 -0.03845 -0.05276 30.6 10080.1.21 30 \
2025-8-10 21:51:31.473 WTSIZIF1(76C8B99AE989) 0.090 0.179 0.972 10.010 -0.854 -4.517 12.00 -4.31 -6.52 -5.000 20.300 -38.000 null null null null null null 0.99234 0.10434 -0.03845 -0.05276 30.6 10080.1.21 30 \
2025-8-10 21:51:31.532 WTSIZIF1(76C8B99AE989) -0.036 0.269 0.988 44.617 -16.296 -8.911 14.31 -4.50 -6.90 -5.000 20.300 -38.000 null null null null null null 0.99234 0.10434 -0.03845 -0.05276 30.6 10080.1.21 30 \
2025-8-10 21:51:31.594 WTSIZIF1(76C8B99AE989) 0.019 0.739 0.747 22.949 -9.644 4.333 15.56 -5.40 -6.98 -5.000 20.300 -38.000 null null null null null null 0.99234 0.10434 -0.03845 -0.05276 30.6 10080.1.21 30 \
2025-8-10 21:51:31.624 WTSIZIF1(76C8B99AE989) 0.089 0.801 0.234 83.435 -5.737 -10.620 18.02 -5.50 -7.29 -5.700 12.720 -36.900 null null null null null null 0.99234 0.10434 -0.03845 -0.05276 30.6 10080.1.21 30 \
2025-8-10 21:51:31.682 WTSIZIF1(76C8B99AE989) -0.126 0.256 0.208 117.371 3.967 -30.396 23.63 -5.20 -8.09 -5.700 12.720 -36.900 null null null null null null 0.99234 0.10434 -0.03845 -0.05276 30.6 10080.1.21 30 \
2025-8-10 21:51:31.742 WTSIZIF1(76C8B99AE989) 0.168 0.166 0.155 130.127 -2.380 -24.170 29.74 -4.89 -9.14 -5.700 12.720 -36.900 null null null null null null 0.99234 0.10434 -0.03845 -0.05276 30.6 10080.1.21 30 \
2025-8-10 21:51:31.802 WTSIZIF1(76C8B99AE989) 0.126 0.275 0.223 161.804 4.944 -7.690 37.33 -4.26 -9.71 -5.700 12.720 -36.900 null null null null null null 0.99234 0.10434 -0.03845 -0.05276 30.6 10080.1.21 30 \
2025-8-10 21:51:31.832 WTSIZIF1(76C8B99AE989) 0.217 0.127 0.857 136.902 -22.827 33.691 45.16 -4.73 -10.01 -5.700 12.720 -36.900 null null null null null null 0.99234 0.10434 -0.03845 -0.05276 30.6 10080.1.21 30 \
2025-8-10 21:51:31.861 WTSIZIF1(76C8B99AE989) 0.436 0.397 1.328 60.364 -24.048 54.688 50.47 -6.40 -9.34 -5.700 12.720 -36.900 null null null null null null 0.89996 0.42502 -0.08298 -0.04962 30.6 10080.1.21 30 \
2025-8-10 21:51:31.952 WTSIZIF1(76C8B99AE989) 0.273 0.191 0.941 103.577 -39.429 55.969 54.44 -10.15 -8.90 -5.700 12.720 -36.900 null null null null null null 0.89996 0.42502 -0.08298 -0.04962 30.6 10080.1.21 30 \
2025-8-10 21:51:31.984 WTSIZIF1(76C8B99AE989) 0.404 1.819 1.261 104.309 13.245 11.475 60.11 -11.20 -8.99 -5.700 12.720 -36.900 null null null null null null 0.89996 0.42502 -0.08298 -0.04962 30.6 10080.1.21 30 \
2025-8-10 21:51:32.42 WTSIZIF1(76C8B99AE989) 0.394 1.995 1.141 -122.375 8.667 25.146 58.32 -11.99 -7.45 -9.500 1.000 -25.000 null null null null null null 0.89996 0.42502 -0.08298 -0.04962 30.6 10080.1.21 30 \
2025-8-10 21:51:32.71 WTSIZIF1(76C8B99AE989) 0.584 1.902 1.772 -276.306 26.367 34.424 47.64 -12.82 -6.06 -9.500 1.000 -25.000 null null null null null null 0.89996 0.42502 -0.08298 -0.04962 30.6 10080.1.21 30 \
2025-8-10 21:51:32.162 WTSIZIF1(76C8B99AE989) 0.351 1.361 1.543 -152.283 43.762 -3.967 36.06 -11.85 -4.37 -9.500 1.000 -25.000 null null null null null null 0.89996 0.42502 -0.08298 -0.04962 30.6 10080.1.21 30 \
2025-8-10 21:51:32.194 WTSIZIF1(76C8B99AE989) 1.126 1.275 2.077 61.646 -45.593 -43.274 34.77 -10.10 -4.92 -9.500 1.000 -25.000 null null null null null null 0.89996 0.42502 -0.08298 -0.04962 30.6 10080.1.21 30 \
